r,s,y,SalvageValueStorage
KENYA,PHS001,2034,61.6832
KENYA,PHS001,2036,9.4216
KENYA,PHS001,2037,1.4049
KENYA,PHS001,2039,2.1276
KENYA,PHS001,2041,16.6731
KENYA,PHS001,2045,1.3991
KENYA,PHS001,2049,46.2627
KENYA,PHS002,2034,26.3502
KENYA,PHS002,2035,55.1617
KENYA,PHS002,2036,19.0911
KENYA,PHS002,2037,8.5399
KENYA,PHS002,2049,27.5538
