r,t,f,y,ProductionByTechnologyAnnual
KENYA,DEMINDELC,INDELC,2034,42.781
KENYA,DEMINDELC,INDELC,2035,45.1967
KENYA,DEMINDELC,INDELC,2036,47.6561
KENYA,DEMINDELC,INDELC,2037,50.4182
KENYA,DEMINDELC,INDELC,2038,53.3002
KENYA,DEMINDELC,INDELC,2039,56.3569
KENYA,DEMINDELC,INDELC,2040,59.5965
KENYA,DEMINDELC,INDELC,2041,63.0147
KENYA,DEMINDELC,INDELC,2042,66.5662
KENYA,DEMINDELC,INDELC,2043,70.3511
KENYA,DEMINDELC,INDELC,2044,74.351
KENYA,DEMINDELC,INDELC,2045,78.5785
KENYA,DEMINDELC,INDELC,2046,83.0463
KENYA,DEMINDELC,INDELC,2047,87.7681
KENYA,DEMINDELC,INDELC,2048,92.7584
KENYA,DEMINDELC,INDELC,2049,98.0324
KENYA,DEMINDELC,INDELC,2050,103.6063
KENYA,DEMRESELC,RESELC,2019,13.7907
KENYA,DEMRESELC,RESELC,2020,14.0318
KENYA,DEMRESELC,RESELC,2021,14.669
KENYA,DEMRESELC,RESELC,2022,15.1591
KENYA,DEMRESELC,RESELC,2023,15.6221
KENYA,DEMRESELC,RESELC,2024,16.1577
KENYA,DEMRESELC,RESELC,2025,16.7411
KENYA,DEMRESELC,RESELC,2026,17.3547
KENYA,DEMRESELC,RESELC,2027,18.356
KENYA,DEMRESELC,RESELC,2028,19.419
KENYA,DEMRESELC,RESELC,2029,20.6321
KENYA,DEMRESELC,RESELC,2030,21.9351
KENYA,DEMRESELC,RESELC,2031,23.1587
KENYA,DEMRESELC,RESELC,2032,24.5144
KENYA,DEMRESELC,RESELC,2033,25.8913
KENYA,DEMRESELC,RESELC,2034,27.3607
KENYA,DEMRESELC,RESELC,2035,28.9057
KENYA,DEMRESELC,RESELC,2036,30.4786
KENYA,DEMRESELC,RESELC,2037,32.2451
KENYA,DEMRESELC,RESELC,2038,34.0883
KENYA,DEMRESELC,RESELC,2039,36.0432
KENYA,DEMRESELC,RESELC,2040,38.1152
KENYA,DEMRESELC,RESELC,2041,40.3012
KENYA,DEMRESELC,RESELC,2042,42.5727
