r,t,y,NewCapacity
KENYA,BACKSTOP,2049,0.0913
KENYA,BACKSTOP,2050,0.4115
KENYA,BESS_TECH,2024,0.0065
KENYA,BESS_TECH,2025,0.0798
KENYA,BESS_TECH,2044,0.061
KENYA,BESS_TECH,2045,0.0363
KENYA,BESS_TECH,2046,0.1405
KENYA,BESS_TECH,2047,0.1224
KENYA,BESS_TECH,2048,0.3208
KENYA,BESS_TECH,2049,0.3691
KENYA,PWRBIO001,2023,0.0014
KENYA,PWRBIO001,2026,0.01
KENYA,PWRBIO001,2028,0.008
KENYA,PWRBIO001,2030,0.0482
KENYA,PWRBIO001,2031,0.02
KENYA,PWRBIO001,2032,0.0108
KENYA,PWRBIO001,2033,0.003
KENYA,PWRBIO001,2034,0.006
KENYA,PWRBIO001,2035,0.0003
KENYA,PWRBIO001,2036,0.0089
KENYA,PWRBIO001,2037,0.0089
KENYA,PWRBIO001,2038,0.0089
KENYA,PWRBIO001,2039,0.0089
KENYA,PWRBIO001,2041,0.0178
KENYA,PWRBIO001,2042,0.0089
KENYA,PWRBIO001,2043,0.0109
KENYA,PWRBIO001,2044,0.0089
KENYA,PWRBIO001,2045,0.0089
KENYA,PWRBIO001,2046,0.0089
KENYA,PWRBIO001,2047,0.0089
KENYA,PWRBIO001,2048,0.0089
KENYA,PWRBIO001,2049,0.0089
KENYA,PWRBIO001,2050,0.0089
KENYA,PWRDIST,2019,0.2935
KENYA,PWRDIST,2020,0.0329
KENYA,PWRDIST,2021,0.0848
KENYA,PWRDIST,2022,0.0646
KENYA,PWRDIST,2023,0.0567
KENYA,PWRDIST,2024,0.0691
KENYA,PWRDIST,2025,0.0766
KENYA,PWRDIST,2026,0.0674
KENYA,PWRDIST,2027,0.1273
KENYA,PWRDIST,2028,0.1392
KENYA,PWRDIST,2029,0.1572
KENYA,PWRDIST,2030,0.1537
KENYA,PWRDIST,2031,0.1468
KENYA,PWRDIST,2032,0.1697
KENYA,PWRDIST,2033,0.1649
KENYA,PWRDIST,2034,0.1803
KENYA,PWRDIST,2035,0.187
KENYA,PWRDIST,2036,0.1919
KENYA,PWRDIST,2037,0.2304
KENYA,PWRDIST,2038,0.24
KENYA,PWRDIST,2039,0.2537
KENYA,PWRDIST,2040,0.269
KENYA,PWRDIST,2041,0.2835
KENYA,PWRDIST,2042,0.2934
KENYA,PWRDIST,2043,0.3129
KENYA,PWRDIST,2044,0.3296
KENYA,PWRDIST,2045,0.3484
KENYA,PWRDIST,2046,0.3677
KENYA,PWRDIST,2047,0.3873
KENYA,PWRDIST,2048,0.4095
KENYA,PWRDIST,2049,0.4322
KENYA,PWRDIST,2050,0.4551
KENYA,PWRGEO010,2023,0.035
KENYA,PWRGEO011,2022,0.0833
KENYA,PWRGEO013,2029,0.14
