r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,BESS001,4,2,2031,0.0013
KENYA,BESS001,4,2,2032,0.0004
KENYA,BESS001,4,2,2033,0.0005
KENYA,BESS001,4,2,2034,0.0006
KENYA,BESS001,4,2,2044,0.0007
KENYA,BESS001,4,2,2046,0.0025
KENYA,BESS001,4,2,2047,0.0042
KENYA,BESS001,4,2,2048,0.0042
KENYA,BESS001,4,2,2049,0.032
KENYA,BESS001,4,2,2050,0.0069
KENYA,PHS001,1,1,2034,0.0015
KENYA,PHS001,1,1,2035,0.0015
KENYA,PHS001,1,1,2036,0.0018
KENYA,PHS001,1,1,2037,0.0018
KENYA,PHS001,1,1,2038,0.0018
KENYA,PHS001,1,1,2039,0.0019
KENYA,PHS001,1,1,2040,0.0019
KENYA,PHS001,1,1,2041,0.0023
KENYA,PHS001,1,1,2042,0.0023
KENYA,PHS001,1,1,2043,0.0023
KENYA,PHS001,1,1,2044,0.0023
KENYA,PHS001,1,1,2045,0.0023
KENYA,PHS001,1,1,2046,0.0022
KENYA,PHS001,1,1,2047,0.0022
KENYA,PHS001,1,1,2048,0.0022
KENYA,PHS001,1,1,2049,0.0033
KENYA,PHS001,1,1,2050,0.0032
KENYA,PHS001,1,2,2034,0.0015
KENYA,PHS001,1,2,2035,0.0015
KENYA,PHS001,1,2,2036,0.0018
KENYA,PHS001,1,2,2037,0.0018
KENYA,PHS001,1,2,2038,0.0018
KENYA,PHS001,1,2,2039,0.0019
KENYA,PHS001,1,2,2040,0.0019
KENYA,PHS001,1,2,2041,0.0023
KENYA,PHS001,1,2,2042,0.0023
KENYA,PHS001,1,2,2043,0.0023
KENYA,PHS001,1,2,2044,0.0023
KENYA,PHS001,1,2,2045,0.0023
KENYA,PHS001,1,2,2046,0.0022
KENYA,PHS001,1,2,2047,0.0022
KENYA,PHS001,1,2,2048,0.0022
KENYA,PHS001,1,2,2049,0.0032
KENYA,PHS001,1,2,2050,0.0032
KENYA,PHS001,2,1,2034,0.0015
KENYA,PHS001,2,1,2035,0.0017
KENYA,PHS001,2,1,2036,0.0005
KENYA,PHS001,2,1,2037,0.0026
KENYA,PHS001,2,1,2038,0.0002
KENYA,PHS001,2,1,2039,0.0028
KENYA,PHS001,2,1,2040,0.0018
KENYA,PHS001,2,1,2041,0.0031
KENYA,PHS001,2,1,2042,0.0021
KENYA,PHS001,2,1,2043,0.0015
KENYA,PHS001,2,1,2045,0.0032
KENYA,PHS001,2,1,2046,0.0032
KENYA,PHS001,2,1,2047,0.0032
KENYA,PHS001,2,1,2048,0.0032
KENYA,PHS001,2,1,2049,0.0032
KENYA,PHS001,2,1,2050,0.0031
KENYA,PHS001,2,2,2034,0.0015
KENYA,PHS001,2,2,2035,0.0017
KENYA,PHS001,2,2,2036,0.0011
KENYA,PHS001,2,2,2037,0.0026
KENYA,PHS001,2,2,2038,0.0002
KENYA,PHS001,2,2,2039,0.0037
KENYA,PHS001,2,2,2040,0.0037
KENYA,PHS001,2,2,2041,0.0034
KENYA,PHS001,2,2,2042,0.0045
KENYA,PHS001,2,2,2043,0.0032
KENYA,PHS001,2,2,2044,0.0014
KENYA,PHS001,2,2,2045,0.0032
KENYA,PHS001,2,2,2046,0.0032
KENYA,PHS001,2,2,2047,0.0032
KENYA,PHS001,2,2,2048,0.0032
KENYA,PHS001,2,2,2049,0.0033
KENYA,PHS001,2,2,2050,0.0033
KENYA,PHS001,3,1,2035,0.0001
KENYA,PHS001,3,1,2036,0.0001
KENYA,PHS001,3,1,2037,0.0001
KENYA,PHS001,3,1,2038,0.0026
KENYA,PHS001,3,1,2039,0.0001
KENYA,PHS001,3,1,2040,0.0028
KENYA,PHS001,3,1,2041,0.0001
KENYA,PHS001,3,1,2042,0.0001
KENYA,PHS001,3,1,2043,0.0032
KENYA,PHS001,3,1,2044,0.0032
KENYA,PHS001,3,1,2049,0.0033
KENYA,PHS001,3,1,2050,0.0025
KENYA,PHS001,3,2,2035,0.0001
KENYA,PHS001,3,2,2036,0.0001
KENYA,PHS001,3,2,2037,0.0001
KENYA,PHS001,3,2,2038,0.0026
KENYA,PHS001,3,2,2039,0.0001
KENYA,PHS001,3,2,2040,0.0028
KENYA,PHS001,3,2,2041,0.0001
KENYA,PHS001,3,2,2042,0.0001
KENYA,PHS001,3,2,2043,0.0032
KENYA,PHS001,3,2,2044,0.0032
KENYA,PHS001,3,2,2049,0.0032
KENYA,PHS001,3,2,2050,0.0025
KENYA,PHS001,4,1,2034,0.0015
KENYA,PHS001,4,1,2036,0.0
KENYA,PHS001,4,1,2037,0.0
KENYA,PHS001,4,1,2040,0.0028
KENYA,PHS001,4,1,2041,0.0032
KENYA,PHS001,4,1,2042,0.0032
KENYA,PHS001,4,1,2044,0.0001
KENYA,PHS001,4,1,2045,0.0032
KENYA,PHS001,4,1,2046,0.0032
KENYA,PHS001,4,1,2047,0.0032
KENYA,PHS001,4,1,2049,0.0032
KENYA,PHS001,4,1,2050,0.0033
KENYA,PHS001,4,2,2034,0.0015
KENYA,PHS001,4,2,2036,0.0
KENYA,PHS001,4,2,2037,0.0
KENYA,PHS001,4,2,2038,0.0
KENYA,PHS001,4,2,2040,0.0028
KENYA,PHS001,4,2,2041,0.0032
KENYA,PHS001,4,2,2042,0.0032
KENYA,PHS001,4,2,2044,0.0001
KENYA,PHS001,4,2,2045,0.0032
KENYA,PHS001,4,2,2046,0.0033
KENYA,PHS001,4,2,2047,0.0032
KENYA,PHS001,4,2,2049,0.0032
KENYA,PHS001,4,2,2050,0.0033
KENYA,PHS002,1,1,2034,0.0006
KENYA,PHS002,1,1,2035,0.002
KENYA,PHS002,1,1,2036,0.0025
KENYA,PHS002,1,1,2037,0.0027
KENYA,PHS002,1,1,2038,0.0027
KENYA,PHS002,1,1,2039,0.0027
