r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0004
KENYA,PHS001,2035,0.0013
KENYA,PHS001,2036,0.0008
KENYA,PHS002,2035,0.0002
KENYA,PHS002,2037,0.0001
KENYA,PHS002,2038,0.0005
KENYA,BESS001,2020,0.0177
KENYA,BESS001,2022,0.2458
KENYA,BESS001,2024,0.3322
KENYA,BESS001,2025,0.3949
KENYA,BESS001,2028,0.0226
KENYA,BESS001,2029,0.1295
KENYA,BESS001,2032,0.2454
KENYA,BESS001,2033,0.0757
KENYA,BESS001,2037,0.1398
KENYA,BESS001,2039,0.2538
KENYA,BESS001,2040,0.2832
KENYA,BESS001,2041,0.238
KENYA,BESS001,2045,1.6111
KENYA,BESS001,2046,0.3771
KENYA,BESS001,2047,0.8308
KENYA,BESS001,2048,0.3571
KENYA,BESS001,2050,1.3019
