r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2034,8.3601
KENYA,PHS001,2035,29.156
KENYA,PHS001,2036,19.0053
KENYA,PHS002,2035,4.6446
KENYA,PHS002,2037,2.5499
KENYA,PHS002,2038,12.1211
