r,s,y,SalvageValueStorage
KENYA,PHS001,2034,7.429
KENYA,PHS001,2035,26.2556
KENYA,PHS001,2036,17.3223
KENYA,PHS002,2035,4.1826
KENYA,PHS002,2037,2.3497
KENYA,PHS002,2038,11.2809
