r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,2.327
KENYA,PHS001,2035,7.4522
KENYA,PHS001,2036,4.4607
KENYA,PHS002,2035,1.1871
KENYA,PHS002,2037,0.5496
KENYA,PHS002,2038,2.3989
