y,Capital costs,Fixed costs,Variable costs,Fuel costs
2019,0.875624095470817,2.054186151079136,0.2415433902877698,0.9483109265082389
2020,0.957007555442828,2.01749668581529,0.25984865223155107,1.0633795365166239
2021,1.4679591559716152,2.030521196743842,0.25396236388624593,1.1607468022219365
2022,1.9537630341036782,2.10338792221085,0.12359263050153532,0.4351948825196823
2023,2.256844237952983,2.093219259848786,0.12535316354954237,0.43790809115425566
2024,2.4134879161301663,1.9886245066897683,0.15221676773510448,0.6563285491755609
2025,2.8139700755340256,2.0638027514407886,0.1271537460494516,0.4187599925636735
2026,3.6274762732636083,2.1143236432364323,0.08467014670146705,0.07152043055975583
2027,4.295263402920871,2.024385920054547,0.09334015170885539,0.14264552970254837
2028,4.8945716745080885,2.083146864420441,0.09221263904562312,0.13535660167778096
2029,5.884771066629458,2.166592755714177,0.09078289923304733,0.09980059233157801
2030,6.440935375602826,2.1420991107286294,0.09430220883534139,0.16089148078736068
2031,6.998423161137386,2.1841005381104828,0.09457870717253593,0.1750343982017574
2032,7.354289141754523,2.1536465583913382,0.09880639340036092,0.2248227635988657
2033,7.603278601864391,2.1091311796377874,0.10701174743024962,0.31497017320808673
2034,8.183956170366523,2.1631388470015085,0.10667149982600627,0.28039639262973
2035,8.531359464047844,2.1220820050566123,0.12048092777838845,0.3519563592348646
2036,9.015742529059931,2.1808455997494516,0.11291053345860734,0.2730935327898182
2037,9.281511233980527,2.1991018938646674,0.11157723416847502,0.25722262774829413
2038,9.699300615486953,2.1646279026391873,0.1275781031427772,0.3554791196389384
2039,10.092315732760808,2.222881333509723,0.1221034528376769,0.29451100232999944
2040,10.50321496929942,2.3197281407663763,0.11678522286619687,0.2556938664819831
2041,11.048406898607118,2.271875,0.11866206624605675,0.2655917192364904
2042,11.291491945129035,2.4733176540859376,0.11953447567850076,0.2986585283954512
2043,11.47802101871858,2.4513388914402796,0.12492316388172535,0.33893688841147773
2044,11.643986299738325,2.4585427740447297,0.1204954367666232,0.31418461872328957
2045,11.831180713556645,2.403271433090794,0.1233631762100601,0.36383043340714977
2046,11.961122459469246,2.410394886533741,0.11748068977905514,0.33687837555338357
2047,12.147216050944305,2.413075114045278,0.11041112968577335,0.3119926331017897
2048,12.292900820678012,2.452369472526883,0.10133490654581534,0.2683466788249569
2049,12.102438983636011,2.499020837034593,0.09244410040354305,0.24259704068580662
2050,12.196728103871541,2.548966751549513,0.08160308461057991,0.17280319992681156
