r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,0.4853
KENYA,PHS001,2035,1.7153
KENYA,PHS001,2036,1.1317
KENYA,PHS002,2035,0.2732
KENYA,PHS002,2037,0.1535
KENYA,PHS002,2038,0.737
