r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,3,1,2022,0.1317
KENYA,BESS001,3,1,2023,0.1317
KENYA,BESS001,3,1,2024,0.3174
KENYA,BESS001,3,1,2025,0.688
KENYA,BESS001,3,1,2026,0.6685
KENYA,BESS001,3,1,2027,0.7223
KENYA,BESS001,3,1,2028,0.7313
KENYA,BESS001,3,1,2029,0.8116
KENYA,BESS001,3,1,2030,0.7726
KENYA,BESS001,3,1,2031,0.8539
KENYA,BESS001,3,1,2032,0.8417
KENYA,BESS001,3,1,2033,0.8959
KENYA,BESS001,3,1,2034,0.6186
KENYA,BESS001,3,1,2035,0.2366
KENYA,BESS001,3,1,2036,0.2366
KENYA,BESS001,3,1,2037,0.4439
KENYA,BESS001,3,1,2038,0.3925
KENYA,BESS001,3,1,2039,0.4716
KENYA,BESS001,3,1,2040,0.7757
KENYA,BESS001,3,1,2041,0.9328
KENYA,BESS001,3,1,2042,0.7802
KENYA,BESS001,3,1,2043,0.6609
KENYA,BESS001,3,1,2044,0.6534
KENYA,BESS001,3,1,2045,1.9378
KENYA,BESS001,3,1,2046,2.1929
KENYA,BESS001,3,1,2047,2.7079
KENYA,BESS001,3,1,2048,2.9112
KENYA,BESS001,3,1,2049,2.8953
KENYA,BESS001,3,1,2050,3.6622
KENYA,BESS001,3,2,2020,0.0088
KENYA,BESS001,3,2,2021,0.0088
KENYA,BESS001,3,2,2022,0.1317
KENYA,BESS001,3,2,2023,0.1317
KENYA,BESS001,3,2,2024,0.3174
KENYA,BESS001,3,2,2025,0.688
KENYA,BESS001,3,2,2026,0.6685
KENYA,BESS001,3,2,2027,0.7223
KENYA,BESS001,3,2,2028,0.7313
KENYA,BESS001,3,2,2029,0.8116
KENYA,BESS001,3,2,2030,0.7726
KENYA,BESS001,3,2,2031,0.8539
KENYA,BESS001,3,2,2032,0.8417
KENYA,BESS001,3,2,2033,0.8959
KENYA,BESS001,3,2,2034,0.6186
KENYA,BESS001,3,2,2035,0.2366
KENYA,BESS001,3,2,2036,0.2366
KENYA,BESS001,3,2,2037,0.4439
KENYA,BESS001,3,2,2038,0.3925
KENYA,BESS001,3,2,2039,0.4716
KENYA,BESS001,3,2,2040,0.7757
KENYA,BESS001,3,2,2041,0.9328
KENYA,BESS001,3,2,2042,0.7802
KENYA,BESS001,3,2,2043,0.6609
KENYA,BESS001,3,2,2044,0.6534
KENYA,BESS001,3,2,2045,1.9378
KENYA,BESS001,3,2,2046,2.1929
KENYA,BESS001,3,2,2047,2.7079
KENYA,BESS001,3,2,2048,2.9112
KENYA,BESS001,3,2,2049,2.8953
KENYA,BESS001,3,2,2050,3.6622
KENYA,BESS001,4,1,2020,0.0088
KENYA,BESS001,4,1,2021,0.0088
KENYA,BESS001,4,1,2022,0.1317
KENYA,BESS001,4,1,2023,0.1317
KENYA,BESS001,4,1,2024,0.3421
KENYA,BESS001,4,1,2025,0.9321
KENYA,BESS001,4,1,2026,0.9497
KENYA,BESS001,4,1,2027,0.9899
KENYA,BESS001,4,1,2028,1.0125
KENYA,BESS001,4,1,2029,1.1412
KENYA,BESS001,4,1,2030,1.0593
KENYA,BESS001,4,1,2031,1.1239
KENYA,BESS001,4,1,2032,1.1239
KENYA,BESS001,4,1,2033,1.1997
KENYA,BESS001,4,1,2034,0.8675
KENYA,BESS001,4,1,2035,0.2366
KENYA,BESS001,4,1,2036,0.2366
KENYA,BESS001,4,1,2037,0.6121
KENYA,BESS001,4,1,2038,0.5303
KENYA,BESS001,4,1,2039,0.6236
KENYA,BESS001,4,1,2040,0.9965
KENYA,BESS001,4,1,2041,1.2346
KENYA,BESS001,4,1,2042,0.9889
KENYA,BESS001,4,1,2043,0.906
KENYA,BESS001,4,1,2044,0.907
KENYA,BESS001,4,1,2045,2.5215
KENYA,BESS001,4,1,2046,2.898
KENYA,BESS001,4,1,2047,3.5882
KENYA,BESS001,4,1,2048,3.9453
KENYA,BESS001,4,1,2049,3.6926
KENYA,BESS001,4,1,2050,4.711
KENYA,BESS001,4,2,2020,0.0088
KENYA,BESS001,4,2,2021,0.0088
KENYA,BESS001,4,2,2022,0.1317
KENYA,BESS001,4,2,2023,0.1317
KENYA,BESS001,4,2,2024,0.3421
KENYA,BESS001,4,2,2025,0.9321
KENYA,BESS001,4,2,2026,0.9497
KENYA,BESS001,4,2,2027,0.9899
KENYA,BESS001,4,2,2028,1.0125
