r,t,f,y,ProductionByTechnologyAnnual
KENYA,IMPELC001,ELC001,2022,4.0045
KENYA,IMPELC001,ELC001,2023,3.9796
KENYA,IMPELC001,ELC001,2024,4.9848
KENYA,IMPELC001,ELC001,2025,4.4506
KENYA,IMPELC001,ELC001,2026,3.6872
KENYA,IMPELC001,ELC001,2027,4.8679
KENYA,IMPELC001,ELC001,2028,4.18
KENYA,IMPELC001,ELC001,2029,3.0602
KENYA,IMPELC001,ELC001,2030,3.3926
KENYA,IMPELC001,ELC001,2031,2.7896
KENYA,IMPELC001,ELC001,2032,3.636
KENYA,IMPELC001,ELC001,2033,5.0957
KENYA,IMPELC001,ELC001,2034,3.6465
KENYA,IMPELC001,ELC001,2035,5.2711
KENYA,IMPELC001,ELC001,2036,3.5639
KENYA,IMPELC001,ELC001,2037,3.2297
KENYA,IMPELC001,ELC001,2038,5.5699
KENYA,IMPELC001,ELC001,2039,4.2833
KENYA,IMPELC001,ELC001,2040,3.2576
KENYA,IMPELC001,ELC001,2041,3.4051
KENYA,IMPELC001,ELC001,2042,3.6754
KENYA,IMPELC001,ELC001,2043,5.1668
KENYA,IMPELC001,ELC001,2044,4.692
KENYA,IMPELC001,ELC001,2045,6.8775
KENYA,IMPELC001,ELC001,2046,6.2905
KENYA,IMPELC001,ELC001,2047,5.8874
KENYA,IMPELC001,ELC001,2048,4.5542
KENYA,IMPELC001,ELC001,2049,3.4003
KENYA,IMPELC001,ELC001,2050,3.1718
KENYA,IMPHFOMOM,HFOMOM,2019,13.3439
KENYA,IMPHFOMOM,HFOMOM,2020,14.896
KENYA,IMPHFOMOM,HFOMOM,2021,15.1152
KENYA,IMPHFOMOM,HFOMOM,2022,4.8424
KENYA,IMPHFOMOM,HFOMOM,2023,5.0852
KENYA,IMPHFOMOM,HFOMOM,2024,7.7088
KENYA,IMPHFOMOM,HFOMOM,2025,5.1296
KENYA,IMPHFOMOM,HFOMOM,2026,0.9495
KENYA,IMPHFOMOM,HFOMOM,2027,2.0779
KENYA,IMPHFOMOM,HFOMOM,2028,2.0143
KENYA,IMPHFOMOM,HFOMOM,2029,1.5306
KENYA,IMPHFOMOM,HFOMOM,2030,1.8383
KENYA,IMPHFONAI,HFONAI,2019,1.337
KENYA,IMPHFONAI,HFONAI,2020,1.8011
KENYA,IMPHFONAI,HFONAI,2021,2.0691
KENYA,IMPHFONAI,HFONAI,2022,0.1829
KENYA,IMPHFONAI,HFONAI,2023,0.2443
KENYA,IMPHFONAI,HFONAI,2024,0.9295
KENYA,IMPHFONAI,HFONAI,2025,0.7381
KENYA,IMPHFONAI,HFONAI,2027,0.0787
KENYA,IMPHFONAI,HFONAI,2028,0.0792
KENYA,IMPHFONAI,HFONAI,2029,0.0615
KENYA,IMPHFONAI,HFONAI,2030,0.4777
KENYA,IMPHFONAI,HFONAI,2031,2.2268
KENYA,IMPHFONAI,HFONAI,2032,3.0712
KENYA,IMPHFONAI,HFONAI,2033,4.5167
KENYA,IMPHFONAI,HFONAI,2034,2.3494
KENYA,IMPHFONAI,HFONAI,2035,1.2629
KENYA,IMPNGS,NGS,2031,0.0197
KENYA,IMPNGS,NGS,2032,0.1369
KENYA,IMPNGS,NGS,2033,0.4494
KENYA,IMPNGS,NGS,2034,1.9498
KENYA,IMPNGS,NGS,2035,4.4617
KENYA,IMPNGS,NGS,2036,4.3721
KENYA,IMPNGS,NGS,2037,4.3382
KENYA,IMPNGS,NGS,2038,6.587
KENYA,IMPNGS,NGS,2039,5.6271
KENYA,IMPNGS,NGS,2040,5.0722
KENYA,IMPNGS,NGS,2041,5.6664
KENYA,IMPNGS,NGS,2042,6.6594
KENYA,IMPNGS,NGS,2043,8.1669
KENYA,IMPNGS,NGS,2044,7.9104
KENYA,IMPNGS,NGS,2045,9.9185
KENYA,IMPNGS,NGS,2046,9.6105
KENYA,IMPNGS,NGS,2047,9.3097
KENYA,IMPNGS,NGS,2048,8.3203
KENYA,IMPNGS,NGS,2049,7.8785
KENYA,IMPNGS,NGS,2050,6.265
KENYA,MINBIO,BIO,2019,0.0902
KENYA,MINBIO,BIO,2020,0.0902
KENYA,MINBIO,BIO,2021,0.0902
KENYA,MINBIO,BIO,2022,0.0902
KENYA,MINBIO,BIO,2023,0.1533
KENYA,MINBIO,BIO,2024,0.1533
KENYA,MINBIO,BIO,2025,0.1533
KENYA,MINBIO,BIO,2026,0.6042
KENYA,MINBIO,BIO,2027,0.6042
KENYA,MINBIO,BIO,2028,0.9649
KENYA,MINBIO,BIO,2029,0.9649
KENYA,MINBIO,BIO,2030,3.1381
KENYA,MINBIO,BIO,2031,4.0398
KENYA,MINBIO,BIO,2032,4.5268
KENYA,MINBIO,BIO,2033,4.6621
KENYA,MINBIO,BIO,2034,4.9326
KENYA,MINBIO,BIO,2035,4.9461
KENYA,MINBIO,BIO,2036,5.3473
KENYA,MINBIO,BIO,2037,5.3473
KENYA,MINBIO,BIO,2038,6.15
KENYA,MINBIO,BIO,2039,6.15
KENYA,MINBIO,BIO,2040,6.15
KENYA,MINBIO,BIO,2041,6.15
KENYA,MINBIO,BIO,2042,7.755
KENYA,MINBIO,BIO,2043,8.1564
KENYA,MINBIO,BIO,2044,8.5576
KENYA,MINBIO,BIO,2045,8.9589
KENYA,MINBIO,BIO,2046,9.3601
KENYA,MINBIO,BIO,2047,9.7614
KENYA,MINBIO,BIO,2048,9.7614
KENYA,MINBIO,BIO,2049,9.7614
KENYA,MINBIO,BIO,2050,5.2132
KENYA,MINGEO,GEO,2019,70.0437
KENYA,MINGEO,GEO,2020,70.0437
KENYA,MINGEO,GEO,2021,70.0437
KENYA,MINGEO,GEO,2022,77.4191
KENYA,MINGEO,GEO,2023,80.518
KENYA,MINGEO,GEO,2024,77.8618
KENYA,MINGEO,GEO,2025,88.3094
KENYA,MINGEO,GEO,2026,98.1242
KENYA,MINGEO,GEO,2027,102.1478
KENYA,MINGEO,GEO,2028,110.2004
KENYA,MINGEO,GEO,2029,125.2405
KENYA,MINGEO,GEO,2030,131.6687
KENYA,MINGEO,GEO,2031,142.4317
KENYA,MINGEO,GEO,2032,148.3328
KENYA,MINGEO,GEO,2033,152.4599
KENYA,MINGEO,GEO,2034,169.1107
KENYA,MINGEO,GEO,2035,174.3904
KENYA,MINGEO,GEO,2036,192.2169
KENYA,MINGEO,GEO,2037,206.965
KENYA,MINGEO,GEO,2038,218.6733
KENYA,MINGEO,GEO,2039,242.3744
KENYA,MINGEO,GEO,2040,259.7434
KENYA,MINGEO,GEO,2041,277.5829
KENYA,MINGEO,GEO,2042,289.7867
KENYA,MINGEO,GEO,2043,294.6088
KENYA,MINGEO,GEO,2044,306.2598
KENYA,MINGEO,GEO,2045,305.1274
KENYA,MINGEO,GEO,2046,314.9277
KENYA,MINGEO,GEO,2047,318.1771
KENYA,MINGEO,GEO,2048,320.9466
KENYA,MINGEO,GEO,2049,320.9466
KENYA,MINGEO,GEO,2050,316.0769
KENYA,MINHYD,HYD,2019,12.0376
KENYA,MINHYD,HYD,2020,12.0376
KENYA,MINHYD,HYD,2021,12.0376
KENYA,MINHYD,HYD,2022,12.0376
KENYA,MINHYD,HYD,2023,12.1346
KENYA,MINHYD,HYD,2024,12.1679
KENYA,MINHYD,HYD,2025,12.1719
KENYA,MINHYD,HYD,2026,12.5015
KENYA,MINHYD,HYD,2027,12.6478
KENYA,MINHYD,HYD,2028,12.689
KENYA,MINHYD,HYD,2029,12.7873
KENYA,MINHYD,HYD,2030,13.2739
KENYA,MINHYD,HYD,2031,13.6474
KENYA,MINHYD,HYD,2032,13.8894
KENYA,MINHYD,HYD,2033,14.3174
KENYA,MINHYD,HYD,2034,14.6511
KENYA,MINHYD,HYD,2035,15.0725
KENYA,MINHYD,HYD,2036,15.4434
KENYA,MINHYD,HYD,2037,15.4913
KENYA,MINHYD,HYD,2038,15.5431
KENYA,MINHYD,HYD,2039,15.5989
KENYA,MINHYD,HYD,2040,15.6614
KENYA,MINHYD,HYD,2041,15.7292
KENYA,MINHYD,HYD,2042,14.1093
KENYA,MINHYD,HYD,2043,14.1904
KENYA,MINHYD,HYD,2044,14.2781
KENYA,MINHYD,HYD,2045,14.3752
KENYA,MINHYD,HYD,2046,14.4815
KENYA,MINHYD,HYD,2047,14.5971
KENYA,MINHYD,HYD,2048,14.7235
KENYA,MINHYD,HYD,2049,14.8617
KENYA,MINHYD,HYD,2050,15.0133
KENYA,MINSOL,SOL,2019,0.3111
KENYA,MINSOL,SOL,2020,0.3111
KENYA,MINSOL,SOL,2021,0.8065
KENYA,MINSOL,SOL,2022,1.0542
KENYA,MINSOL,SOL,2023,1.3112
KENYA,MINSOL,SOL,2024,1.5588
KENYA,MINSOL,SOL,2025,1.5588
KENYA,MINSOL,SOL,2026,1.8065
KENYA,MINSOL,SOL,2027,1.8065
KENYA,MINSOL,SOL,2028,1.8065
KENYA,MINSOL,SOL,2029,1.8065
KENYA,MINSOL,SOL,2030,1.8065
KENYA,MINSOL,SOL,2031,1.8065
KENYA,MINSOL,SOL,2032,1.8065
KENYA,MINSOL,SOL,2033,1.8065
KENYA,MINSOL,SOL,2034,1.8065
KENYA,MINSOL,SOL,2035,1.8065
KENYA,MINSOL,SOL,2036,1.8065
KENYA,MINSOL,SOL,2037,1.8065
KENYA,MINSOL,SOL,2038,2.2384
KENYA,MINSOL,SOL,2039,2.2384
KENYA,MINSOL,SOL,2040,2.2384
KENYA,MINSOL,SOL,2041,1.7431
KENYA,MINSOL,SOL,2042,1.7585
KENYA,MINSOL,SOL,2043,1.5016
KENYA,MINSOL,SOL,2044,1.2539
KENYA,MINSOL,SOL,2045,1.2539
KENYA,MINSOL,SOL,2046,1.0062
KENYA,MINSOL,SOL,2047,1.0062
KENYA,MINSOL,SOL,2048,1.0062
KENYA,MINSOL,SOL,2049,1.0062
KENYA,MINSOL,SOL,2050,1.0062
KENYA,MINWND,WND,2019,5.4829
KENYA,MINWND,WND,2020,5.4829
KENYA,MINWND,WND,2021,6.9304
KENYA,MINWND,WND,2022,6.9304
KENYA,MINWND,WND,2023,6.9304
KENYA,MINWND,WND,2024,6.9304
KENYA,MINWND,WND,2025,7.0512
KENYA,MINWND,WND,2026,7.8084
KENYA,MINWND,WND,2027,7.9637
KENYA,MINWND,WND,2028,9.36
KENYA,MINWND,WND,2029,9.5937
KENYA,MINWND,WND,2030,9.8805
KENYA,MINWND,WND,2031,10.2325
KENYA,MINWND,WND,2032,11.1001
KENYA,MINWND,WND,2033,11.63
KENYA,MINWND,WND,2034,12.2801
KENYA,MINWND,WND,2035,12.8536
KENYA,MINWND,WND,2036,13.8324
KENYA,MINWND,WND,2037,15.0334
KENYA,MINWND,WND,2038,13.0385
KENYA,MINWND,WND,2039,13.1124
KENYA,MINWND,WND,2040,15.3309
KENYA,MINWND,WND,2041,16.6056
KENYA,MINWND,WND,2042,20.404
KENYA,MINWND,WND,2043,24.5022
KENYA,MINWND,WND,2044,29.5307
KENYA,MINWND,WND,2045,35.5799
KENYA,MINWND,WND,2046,42.3933
KENYA,MINWND,WND,2047,51.4985
KENYA,MINWND,WND,2048,62.6353
KENYA,MINWND,WND,2049,75.0982
KENYA,MINWND,WND,2050,90.6546
KENYA,PWRBIO001,ELC001,2019,0.0315
KENYA,PWRBIO001,ELC001,2020,0.0315
KENYA,PWRBIO001,ELC001,2021,0.0315
KENYA,PWRBIO001,ELC001,2022,0.0315
KENYA,PWRBIO001,ELC001,2023,0.0536
KENYA,PWRBIO001,ELC001,2024,0.0536
KENYA,PWRBIO001,ELC001,2025,0.0536
KENYA,PWRBIO001,ELC001,2026,0.2113
KENYA,PWRBIO001,ELC001,2027,0.2113
KENYA,PWRBIO001,ELC001,2028,0.3373
