r,s,y,SalvageValueStorage
KENYA,PHS001,2037,13.0036
KENYA,PHS001,2038,7.4189
KENYA,PHS001,2040,35.1781
KENYA,PHS001,2043,12.603
KENYA,PHS001,2044,47.5697
KENYA,PHS001,2045,23.3361
KENYA,PHS001,2048,56.1913
KENYA,PHS001,2049,88.5027
KENYA,PHS001,2050,61.3832
KENYA,PHS002,2038,26.1837
KENYA,PHS002,2039,6.5953
KENYA,PHS002,2040,35.0718
KENYA,PHS002,2044,19.6132
KENYA,PHS002,2045,31.2949
KENYA,PHS002,2047,20.384
KENYA,PHS002,2048,129.4688
KENYA,PHS002,2049,14.9583
KENYA,PHS002,2050,9.9299
