r,s,y,NewStorageCapacity
KENYA,PHS001,2037,0.0006
KENYA,PHS001,2038,0.0004
KENYA,PHS001,2040,0.0017
KENYA,PHS001,2043,0.0006
KENYA,PHS001,2044,0.0022
KENYA,PHS001,2045,0.0011
KENYA,PHS001,2048,0.0025
KENYA,PHS001,2049,0.0039
KENYA,PHS001,2050,0.0027
KENYA,PHS002,2038,0.0013
KENYA,PHS002,2039,0.0003
KENYA,PHS002,2040,0.0017
KENYA,PHS002,2044,0.0009
KENYA,PHS002,2045,0.0014
KENYA,PHS002,2047,0.0009
KENYA,PHS002,2048,0.0058
KENYA,PHS002,2049,0.0007
KENYA,PHS002,2050,0.0004
KENYA,BESS001,2019,0.274
KENYA,BESS001,2026,1.071
KENYA,BESS001,2028,0.2289
KENYA,BESS001,2029,0.4854
KENYA,BESS001,2030,0.5372
KENYA,BESS001,2032,0.3858
KENYA,BESS001,2033,0.1896
KENYA,BESS001,2034,0.8292
KENYA,BESS001,2035,0.5565
KENYA,BESS001,2038,0.0686
KENYA,BESS001,2039,0.4377
KENYA,BESS001,2040,0.1173
KENYA,BESS001,2041,1.3766
KENYA,BESS001,2042,3.8043
KENYA,BESS001,2043,4.9306
KENYA,BESS001,2044,4.7863
KENYA,BESS001,2045,3.2526
KENYA,BESS001,2046,0.7355
KENYA,BESS001,2047,1.3443
KENYA,BESS001,2048,3.0975
