y,Capital costs,Fixed costs,Variable costs,Fuel costs
2019,0.875624095470817,2.054186151079136,0.24154339028776978,0.9483109265082389
2020,0.957007555442828,2.01749668581529,0.25984865223155107,1.0633795365166239
2021,1.5229949854250246,2.0325161222116503,0.2505349402685273,1.138623956255132
2022,2.0679770514838283,2.1075281473899694,0.12131218014329584,0.4156989022873901
2023,2.435815318450364,2.0999064769674662,0.12189234901999803,0.40891831031441983
2024,2.6610875839764794,1.997416746871992,0.13676804619826755,0.5392012878876221
2025,3.1360620921414335,2.0754777839747165,0.12337144450641387,0.38862184081228945
2026,4.462933523408328,2.0679791417336295,0.08561719952128571,0.07973756197640622
2027,4.989534815421457,1.9136897850305978,0.10802918562686334,0.29322689471206653
2028,5.6291857746427025,1.9134076685130568,0.11282641536580106,0.34989166250014764
2029,6.724231192644699,1.9725118764845604,0.11275666402744788,0.32698054650182945
2030,7.194218077731466,1.9051350203289037,0.12654044541537715,0.5133792098919111
2031,7.981072138585172,1.9389421469178463,0.13703934901348788,0.5309364396740347
2032,8.409457117086388,1.8903559556078355,0.18544622308597145,0.8684272899406511
2033,8.914003617388353,1.831745480159662,0.22534256867809346,1.222467616805784
2034,9.414256108790871,1.84302438814202,0.2599866425370562,1.3554138099262478
2035,9.687106232745101,1.7829445960374897,0.32146597065685933,1.8385614663686871
2036,10.588521352000722,1.7854883535302228,0.43736412451926554,1.210419965903417
2037,10.749550069121353,1.78981656254154,0.4471464176525323,1.4324702146833792
2038,10.932019023811186,1.7411554027325569,0.5081903660651796,2.0378898578880893
2039,11.529721401129077,1.768517774989544,0.5735675449602676,1.4582472494076766
2040,11.981101384599889,1.9253556293081437,0.4966448812866989,1.1119362164923752
2041,12.05759002189916,1.83733990032523,0.5108193921242893,1.3771803177478161
2042,12.239633644607975,1.973101868856001,0.520428648590256,1.3438758647539666
2043,12.35236611757994,2.005956970774486,0.4517723086757625,1.3622888132087325
2044,12.423641205997297,2.0467014459566766,0.3643103543794205,1.296904465293817
2045,12.4869847008268,2.047904900119515,0.3566166979682431,1.3445824995727789
2046,12.518803834640604,2.085365460832768,0.34155232034864447,1.2801283368333982
2047,12.553406511532074,2.116646076112035,0.3289208212856683,1.2253983060262779
2048,12.555696381441537,2.1691042499189974,0.2969441894373042,1.1014906577392463
2049,12.425429380175661,2.2516129354476218,0.2507273067798726,0.9611799125983269
2050,12.452520586696135,2.3507565101911196,0.21456227264853633,0.7977056585258481
