r,t,y,TotalTechnologyAnnualActivity
KENYA,IMPELC001,2031,9.5914
KENYA,IMPELC001,2032,9.9697
KENYA,IMPELC001,2033,9.9697
KENYA,IMPELC001,2034,9.9697
KENYA,IMPELC001,2035,9.9697
KENYA,IMPELC001,2036,9.9697
KENYA,IMPELC001,2037,9.9697
KENYA,IMPELC001,2038,9.9697
KENYA,IMPELC001,2039,9.9697
KENYA,IMPELC001,2040,6.5949
KENYA,IMPELC001,2041,9.9697
KENYA,IMPELC001,2042,6.9754
KENYA,IMPELC001,2043,4.1269
KENYA,IMPELC001,2044,4.0487
KENYA,IMPELC001,2045,4.4265
KENYA,IMPELC001,2046,4.3963
KENYA,IMPELC001,2047,4.5085
KENYA,IMPELC001,2048,4.4189
KENYA,IMPELC001,2049,4.1903
KENYA,IMPELC001,2050,3.8729
KENYA,IMPHFOMOM,2019,13.3439
KENYA,IMPHFOMOM,2020,14.896
KENYA,IMPHFOMOM,2021,14.8715
KENYA,IMPHFOMOM,2022,4.6476
KENYA,IMPHFOMOM,2023,4.78
KENYA,IMPHFOMOM,2024,6.3492
KENYA,IMPHFOMOM,2025,4.8236
KENYA,IMPHFOMOM,2026,1.1128
KENYA,IMPHFOMOM,2027,3.7532
KENYA,IMPHFOMOM,2028,3.8785
KENYA,IMPHFOMOM,2029,3.8785
KENYA,IMPHFOMOM,2030,2.2908
KENYA,IMPHFONAI,2019,1.337
KENYA,IMPHFONAI,2020,1.8011
KENYA,IMPHFONAI,2021,1.9919
KENYA,IMPHFONAI,2022,0.1545
KENYA,IMPHFONAI,2023,0.1986
KENYA,IMPHFONAI,2024,0.7456
KENYA,IMPHFONAI,2025,0.6283
KENYA,IMPHFONAI,2026,0.0214
KENYA,IMPHFONAI,2027,1.0821
KENYA,IMPHFONAI,2028,2.2636
KENYA,IMPHFONAI,2029,2.3703
KENYA,IMPHFONAI,2030,5.7922
KENYA,IMPHFONAI,2031,5.7934
KENYA,IMPHFONAI,2032,9.9259
KENYA,IMPHFONAI,2033,14.3729
KENYA,IMPHFONAI,2034,2.9151
KENYA,IMPHFONAI,2035,3.4198
KENYA,IMPNGS,2030,1.4287
KENYA,IMPNGS,2031,3.9903
KENYA,IMPNGS,2032,7.8619
KENYA,IMPNGS,2033,12.8112
KENYA,IMPNGS,2034,28.2217
KENYA,IMPNGS,2035,42.6462
KENYA,IMPNGS,2036,29.4066
KENYA,IMPNGS,2037,38.9213
KENYA,IMPNGS,2038,62.4178
KENYA,IMPNGS,2039,44.5767
KENYA,IMPNGS,2040,35.7655
KENYA,IMPNGS,2041,50.7808
KENYA,IMPNGS,2042,52.9697
KENYA,IMPNGS,2043,59.8689
KENYA,IMPNGS,2044,63.4065
KENYA,IMPNGS,2045,71.6548
KENYA,IMPNGS,2046,73.6986
KENYA,IMPNGS,2047,76.1882
KENYA,IMPNGS,2048,74.0702
KENYA,IMPNGS,2049,70.7457
KENYA,IMPNGS,2050,63.3174
KENYA,IMPURN,2036,28.4269
KENYA,IMPURN,2037,28.4269
KENYA,IMPURN,2038,28.4269
KENYA,IMPURN,2039,56.8538
KENYA,IMPURN,2040,56.8538
KENYA,IMPURN,2041,56.8538
KENYA,IMPURN,2042,66.6316
KENYA,IMPURN,2043,56.695
