r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2037,3.0414
KENYA,PHS001,2038,1.5776
KENYA,PHS001,2040,6.1998
KENYA,PHS001,2043,1.6848
KENYA,PHS001,2044,5.8065
KENYA,PHS001,2045,2.6021
KENYA,PHS001,2048,4.7886
KENYA,PHS001,2049,6.9006
KENYA,PHS001,2050,4.3803
KENYA,PHS002,2038,5.568
KENYA,PHS002,2039,1.2763
KENYA,PHS002,2040,6.1811
KENYA,PHS002,2044,2.394
KENYA,PHS002,2045,3.4896
KENYA,PHS002,2047,1.8992
KENYA,PHS002,2048,11.0332
KENYA,PHS002,2049,1.1663
KENYA,PHS002,2050,0.7086
