r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2037,0.8495
KENYA,PHS001,2038,0.4847
KENYA,PHS001,2040,2.2982
KENYA,PHS001,2043,0.8233
KENYA,PHS001,2044,3.1077
KENYA,PHS001,2045,1.5245
KENYA,PHS001,2048,3.6709
KENYA,PHS001,2049,5.7818
KENYA,PHS001,2050,4.0101
KENYA,PHS002,2038,1.7106
KENYA,PHS002,2039,0.4309
KENYA,PHS002,2040,2.2912
KENYA,PHS002,2044,1.2813
KENYA,PHS002,2045,2.0445
KENYA,PHS002,2047,1.3317
KENYA,PHS002,2048,8.4581
KENYA,PHS002,2049,0.9772
KENYA,PHS002,2050,0.6487
