r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2037,14.1117
KENYA,PHS001,2038,7.9714
KENYA,PHS001,2040,37.1506
KENYA,PHS001,2043,13.0386
KENYA,PHS001,2044,48.9341
KENYA,PHS001,2045,23.8808
KENYA,PHS001,2048,56.7563
KENYA,PHS001,2049,89.0683
KENYA,PHS001,2050,61.5704
KENYA,PHS002,2038,28.1339
KENYA,PHS002,2039,7.0227
KENYA,PHS002,2040,37.0384
KENYA,PHS002,2044,20.1757
KENYA,PHS002,2045,32.0255
KENYA,PHS002,2047,20.6709
KENYA,PHS002,2048,130.7707
KENYA,PHS002,2049,15.0539
KENYA,PHS002,2050,9.9601
