r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,6.8407
KENYA,PHS001,2035,15.6566
KENYA,PHS001,2036,4.1915
KENYA,PHS001,2041,2.6782
KENYA,PHS001,2045,0.156
KENYA,PHS001,2049,2.0375
KENYA,PHS002,2034,20.7339
KENYA,PHS002,2036,3.1508
KENYA,PHS002,2037,2.326
KENYA,PHS002,2039,0.4117
KENYA,PHS002,2049,3.7181
