r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS05,2033,2.7221
KENYA,BESS_TECH,TS05,2034,2.5174
KENYA,BESS_TECH,TS05,2044,1.9248
KENYA,BESS_TECH,TS05,2045,3.0683
KENYA,BESS_TECH,TS05,2046,4.3676
KENYA,BESS_TECH,TS05,2047,7.262
KENYA,BESS_TECH,TS05,2048,7.6587
KENYA,BESS_TECH,TS05,2049,12.1268
KENYA,BESS_TECH,TS05,2050,12.9571
KENYA,BESS_TECH,TS06,2024,0.2048
KENYA,BESS_TECH,TS06,2026,1.8925
KENYA,BESS_TECH,TS06,2027,1.6097
KENYA,BESS_TECH,TS06,2028,0.1213
KENYA,BESS_TECH,TS06,2029,1.3396
KENYA,BESS_TECH,TS06,2030,0.0104
KENYA,BESS_TECH,TS06,2031,0.1464
KENYA,BESS_TECH,TS06,2033,0.8212
KENYA,BESS_TECH,TS06,2034,0.9107
KENYA,BESS_TECH,TS06,2044,0.0566
KENYA,BESS_TECH,TS06,2045,0.214
KENYA,BESS_TECH,TS06,2046,0.237
KENYA,BESS_TECH,TS06,2048,0.2057
KENYA,BESS_TECH,TS06,2049,0.0387
KENYA,BESS_TECH,TS06,2050,1.0652
KENYA,BESS_TECH,TS07,2025,0.413
KENYA,BESS_TECH,TS07,2026,2.0164
KENYA,BESS_TECH,TS07,2027,0.0663
KENYA,BESS_TECH,TS07,2028,1.1546
KENYA,BESS_TECH,TS07,2029,0.9684
KENYA,BESS_TECH,TS07,2030,1.3899
KENYA,BESS_TECH,TS07,2031,1.621
KENYA,BESS_TECH,TS07,2032,0.3576
KENYA,BESS_TECH,TS07,2034,2.5174
KENYA,BESS_TECH,TS07,2044,1.9248
KENYA,BESS_TECH,TS07,2045,3.0683
KENYA,BESS_TECH,TS07,2046,7.4984
KENYA,BESS_TECH,TS07,2047,11.357
KENYA,BESS_TECH,TS07,2048,6.225
KENYA,BESS_TECH,TS07,2049,8.9157
KENYA,BESS_TECH,TS07,2050,13.8921
KENYA,BESS_TECH,TS08,2025,0.2653
KENYA,BESS_TECH,TS08,2026,0.6031
KENYA,BESS_TECH,TS08,2028,2.7221
KENYA,BESS_TECH,TS08,2029,0.4065
KENYA,BESS_TECH,TS08,2031,1.3232
KENYA,BESS_TECH,TS08,2033,0.5374
KENYA,BESS_TECH,TS08,2034,0.074
KENYA,BESS_TECH,TS08,2044,1.894
KENYA,BESS_TECH,TS08,2045,2.3084
KENYA,BESS_TECH,TS08,2046,7.4984
KENYA,BESS_TECH,TS08,2047,9.6791
KENYA,BESS_TECH,TS08,2049,6.6023
KENYA,BESS_TECH,TS08,2050,2.8944
KENYA,BESS_TECH,TS09,2025,0.2601
KENYA,BESS_TECH,TS09,2027,0.9767
KENYA,BESS_TECH,TS09,2030,0.1261
KENYA,BESS_TECH,TS09,2033,0.1329
KENYA,BESS_TECH,TS09,2044,0.0129
KENYA,BESS_TECH,TS09,2045,0.3875
KENYA,BESS_TECH,TS09,2046,7.4984
KENYA,BESS_TECH,TS09,2047,7.8881
KENYA,BESS_TECH,TS09,2049,4.6888
KENYA,BESS_TECH,TS09,2050,0.9147
KENYA,BESS_TECH,TS10,2024,0.2048
KENYA,BESS_TECH,TS10,2025,0.3186
KENYA,BESS_TECH,TS10,2026,2.6901
KENYA,BESS_TECH,TS10,2027,2.1927
KENYA,BESS_TECH,TS10,2028,2.7221
KENYA,BESS_TECH,TS10,2029,2.3879
KENYA,BESS_TECH,TS10,2030,2.7221
KENYA,BESS_TECH,TS10,2031,2.0133
KENYA,BESS_TECH,TS10,2032,1.0232
KENYA,BESS_TECH,TS10,2033,0.2406
KENYA,BESS_TECH,TS10,2034,2.5174
KENYA,BESS_TECH,TS10,2044,1.9248
KENYA,BESS_TECH,TS10,2045,2.9905
KENYA,BESS_TECH,TS10,2046,3.7492
KENYA,BESS_TECH,TS10,2047,2.1149
KENYA,BESS_TECH,TS10,2048,11.6475
KENYA,BESS_TECH,TS10,2049,17.5879
KENYA,BESS_TECH,TS10,2050,18.459
KENYA,BESS_TECH,TS11,2024,0.2048
KENYA,BESS_TECH,TS11,2025,2.7221
KENYA,BESS_TECH,TS11,2026,1.4729
KENYA,BESS_TECH,TS11,2027,2.7221
KENYA,BESS_TECH,TS11,2028,1.9933
KENYA,BESS_TECH,TS11,2029,0.9498
KENYA,BESS_TECH,TS11,2030,2.6712
KENYA,BESS_TECH,TS11,2031,2.7221
KENYA,BESS_TECH,TS11,2032,0.2468
KENYA,BESS_TECH,TS11,2033,0.1012
KENYA,BESS_TECH,TS11,2034,2.5174
KENYA,BESS_TECH,TS11,2044,1.9248
KENYA,BESS_TECH,TS11,2045,3.0683
KENYA,BESS_TECH,TS11,2046,7.4984
KENYA,BESS_TECH,TS11,2047,8.5066
KENYA,BESS_TECH,TS11,2048,7.7413
KENYA,BESS_TECH,TS11,2049,1.4918
KENYA,BESS_TECH,TS11,2050,1.7329
KENYA,BESS_TECH,TS12,2024,0.1385
KENYA,BESS_TECH,TS12,2025,1.37
KENYA,BESS_TECH,TS12,2027,2.7221
KENYA,BESS_TECH,TS12,2029,1.5299
KENYA,BESS_TECH,TS12,2030,2.4579
KENYA,BESS_TECH,TS12,2032,0.5022
KENYA,BESS_TECH,TS12,2033,1.1972
KENYA,BESS_TECH,TS12,2044,1.9248
KENYA,BESS_TECH,TS12,2045,3.0683
KENYA,BESS_TECH,TS12,2046,7.4984
KENYA,BESS_TECH,TS12,2047,11.357
KENYA,BESS_TECH,TS12,2048,8.545
KENYA,BESS_TECH,TS12,2049,20.9348
KENYA,BESS_TECH,TS12,2050,0.7411
KENYA,BESS_TECH,TS13,2024,0.0693
KENYA,BESS_TECH,TS13,2025,1.9607
KENYA,BESS_TECH,TS13,2026,1.5789
KENYA,BESS_TECH,TS13,2027,2.4294
KENYA,BESS_TECH,TS13,2028,1.355
KENYA,BESS_TECH,TS13,2031,1.0989
KENYA,BESS_TECH,TS13,2032,0.0134
KENYA,BESS_TECH,TS13,2033,0.7106
KENYA,BESS_TECH,TS13,2034,0.1889
KENYA,BESS_TECH,TS13,2044,0.102
KENYA,BESS_TECH,TS13,2045,0.1046
KENYA,BESS_TECH,TS13,2047,7.7074
KENYA,BESS_TECH,TS14,2025,0.1169
KENYA,BESS_TECH,TS14,2029,2.7221
KENYA,BESS_TECH,TS14,2032,0.2823
KENYA,BESS_TECH,TS14,2046,0.7781
