r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,2,3,2030,0.0022
KENYA,BESS001,1,2,3,2033,-0.0023
KENYA,BESS001,1,2,3,2044,0.0002
KENYA,BESS001,1,2,3,2045,-0.0068
KENYA,BESS001,1,2,3,2046,-0.132
KENYA,BESS001,1,2,3,2047,-0.1388
KENYA,BESS001,1,2,3,2049,-0.0825
KENYA,BESS001,1,2,3,2050,-0.0161
KENYA,BESS001,1,2,4,2024,0.0024
KENYA,BESS001,1,2,4,2025,0.0037
KENYA,BESS001,1,2,4,2026,-0.0315
KENYA,BESS001,1,2,4,2027,-0.0257
KENYA,BESS001,1,2,4,2028,-0.0318
KENYA,BESS001,1,2,4,2029,-0.0279
KENYA,BESS001,1,2,4,2030,-0.0318
KENYA,BESS001,1,2,4,2031,-0.0236
KENYA,BESS001,1,2,4,2032,-0.012
KENYA,BESS001,1,2,4,2033,-0.0028
KENYA,BESS001,1,2,4,2034,-0.0295
KENYA,BESS001,1,2,4,2044,-0.0225
KENYA,BESS001,1,2,4,2045,-0.035
KENYA,BESS001,1,2,4,2046,0.0439
KENYA,BESS001,1,2,4,2047,-0.0247
KENYA,BESS001,1,2,4,2048,-0.1363
KENYA,BESS001,1,2,4,2049,-0.2058
KENYA,BESS001,1,2,4,2050,-0.216
KENYA,BESS001,1,2,5,2024,-0.0012
KENYA,BESS001,1,2,5,2025,-0.0161
KENYA,BESS001,1,2,5,2026,-0.0087
KENYA,BESS001,1,2,5,2027,-0.0161
KENYA,BESS001,1,2,5,2028,-0.0118
KENYA,BESS001,1,2,5,2029,-0.0056
KENYA,BESS001,1,2,5,2030,-0.0158
KENYA,BESS001,1,2,5,2031,-0.0161
KENYA,BESS001,1,2,5,2032,0.0015
KENYA,BESS001,1,2,5,2033,-0.0006
KENYA,BESS001,1,2,5,2034,-0.0149
KENYA,BESS001,1,2,5,2044,-0.0114
KENYA,BESS001,1,2,5,2045,-0.0181
KENYA,BESS001,1,2,5,2046,-0.0442
KENYA,BESS001,1,2,5,2047,-0.0502
KENYA,BESS001,1,2,5,2048,-0.0457
KENYA,BESS001,1,2,5,2049,0.0088
KENYA,BESS001,1,2,5,2050,0.0102
KENYA,BESS001,1,2,6,2024,-0.0012
