r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,1.4267
KENYA,PHS001,2035,3.6037
KENYA,PHS001,2036,1.0634
KENYA,PHS001,2041,1.0892
KENYA,PHS001,2045,0.0914
KENYA,PHS001,2049,1.7071
KENYA,PHS002,2034,4.3244
KENYA,PHS002,2036,0.7994
KENYA,PHS002,2037,0.6497
KENYA,PHS002,2039,0.139
KENYA,PHS002,2049,3.1153
