r,s,y,SalvageValueStorage
KENYA,PHS001,2034,21.8393
KENYA,PHS001,2035,55.1617
KENYA,PHS001,2036,16.277
KENYA,PHS001,2041,16.6731
KENYA,PHS001,2045,1.3991
KENYA,PHS001,2049,26.1311
KENYA,PHS002,2034,66.1941
KENYA,PHS002,2036,12.2357
KENYA,PHS002,2037,9.9447
KENYA,PHS002,2039,2.1276
KENYA,PHS002,2049,47.6854
