r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2034,24.5764
KENYA,PHS001,2035,61.2552
KENYA,PHS001,2036,17.8585
KENYA,PHS001,2041,17.4764
KENYA,PHS001,2045,1.4317
KENYA,PHS001,2049,26.2981
KENYA,PHS002,2034,74.4902
KENYA,PHS002,2036,13.4246
KENYA,PHS002,2037,10.7922
KENYA,PHS002,2039,2.2655
KENYA,PHS002,2049,47.9901
