r,s,y,StorageLevelYearStart
KENYA,BESS001,2028,0.4064
KENYA,BESS001,2029,0.6296
KENYA,BESS001,2030,0.9006
KENYA,BESS001,2031,0.9006
KENYA,BESS001,2032,0.9968
KENYA,BESS001,2033,1.0282
KENYA,BESS001,2034,1.4016
KENYA,BESS001,2035,1.4016
KENYA,BESS001,2036,1.451
KENYA,BESS001,2037,1.4942
KENYA,BESS001,2038,1.0878
KENYA,BESS001,2039,0.8646
KENYA,BESS001,2040,0.5936
KENYA,BESS001,2041,0.839
KENYA,BESS001,2042,0.8943
KENYA,BESS001,2043,2.5
KENYA,BESS001,2044,3.2033
KENYA,BESS001,2045,4.9385
KENYA,BESS001,2046,8.4333
KENYA,BESS001,2047,11.4844
KENYA,BESS001,2048,12.6046
KENYA,BESS001,2049,13.7831
KENYA,BESS001,2050,15.8683
KENYA,PHS001,2037,0.0003
KENYA,PHS001,2038,0.0007
KENYA,PHS001,2039,0.0007
KENYA,PHS001,2040,0.0007
KENYA,PHS001,2041,0.0012
KENYA,PHS001,2042,0.0012
KENYA,PHS001,2043,0.0016
KENYA,PHS001,2044,0.0032
KENYA,PHS001,2045,0.0129
KENYA,PHS001,2046,0.0148
KENYA,PHS001,2047,0.0161
KENYA,PHS001,2048,0.0161
KENYA,PHS001,2049,0.0161
KENYA,PHS001,2050,0.0161
KENYA,PHS002,2038,0.0012
KENYA,PHS002,2039,0.0012
KENYA,PHS002,2040,0.0012
KENYA,PHS002,2041,0.0014
KENYA,PHS002,2042,0.0014
KENYA,PHS002,2043,0.0026
KENYA,PHS002,2044,0.004
KENYA,PHS002,2045,0.0124
KENYA,PHS002,2046,0.0146
KENYA,PHS002,2047,0.0159
KENYA,PHS002,2048,0.0159
KENYA,PHS002,2049,0.0159
KENYA,PHS002,2050,0.0159
