r,s,y,SalvageValueStorage
KENYA,PHS001,2037,13.3588
KENYA,PHS001,2038,17.202
KENYA,PHS001,2041,18.2712
KENYA,PHS001,2043,19.5459
KENYA,PHS001,2044,70.7386
KENYA,PHS001,2045,427.4939
KENYA,PHS001,2046,84.5426
KENYA,PHS001,2047,58.8897
KENYA,PHS002,2038,50.6998
KENYA,PHS002,2041,9.4744
KENYA,PHS002,2043,51.2838
KENYA,PHS002,2044,62.0993
KENYA,PHS002,2045,369.1665
KENYA,PHS002,2046,99.9823
KENYA,PHS002,2047,58.847
