r,s,ls,y,StorageLevelSeasonStart
KENYA,PHS001,4,2042,0.0012
KENYA,PHS001,4,2043,0.0016
KENYA,PHS001,4,2044,0.0032
KENYA,PHS001,4,2045,0.0129
KENYA,PHS001,4,2046,0.0148
KENYA,PHS001,4,2047,0.0161
KENYA,PHS001,4,2048,0.0161
KENYA,PHS001,4,2049,0.0161
KENYA,PHS001,4,2050,0.0161
KENYA,PHS002,1,2038,0.0012
KENYA,PHS002,1,2039,0.0012
KENYA,PHS002,1,2040,0.0012
KENYA,PHS002,1,2041,0.0014
KENYA,PHS002,1,2042,0.0014
KENYA,PHS002,1,2043,0.0026
KENYA,PHS002,1,2044,0.004
KENYA,PHS002,1,2045,0.0124
KENYA,PHS002,1,2046,0.0146
KENYA,PHS002,1,2047,0.0159
KENYA,PHS002,1,2048,0.0159
KENYA,PHS002,1,2049,0.0159
KENYA,PHS002,1,2050,0.0159
KENYA,PHS002,2,2038,0.0012
KENYA,PHS002,2,2039,0.0012
KENYA,PHS002,2,2040,0.0012
KENYA,PHS002,2,2041,0.0014
KENYA,PHS002,2,2042,0.0014
KENYA,PHS002,2,2043,0.0026
KENYA,PHS002,2,2044,0.004
KENYA,PHS002,2,2045,0.0124
KENYA,PHS002,2,2046,0.0146
KENYA,PHS002,2,2047,0.0159
KENYA,PHS002,2,2048,0.0159
KENYA,PHS002,2,2049,0.0159
KENYA,PHS002,2,2050,0.0159
KENYA,PHS002,3,2038,0.0012
KENYA,PHS002,3,2039,0.0012
KENYA,PHS002,3,2040,0.0012
KENYA,PHS002,3,2041,0.0014
KENYA,PHS002,3,2042,0.0014
KENYA,PHS002,3,2043,0.0026
KENYA,PHS002,3,2044,0.004
KENYA,PHS002,3,2045,0.0124
KENYA,PHS002,3,2046,0.0146
KENYA,PHS002,3,2047,0.0159
KENYA,PHS002,3,2048,0.0159
KENYA,PHS002,3,2049,0.0159
KENYA,PHS002,3,2050,0.0159
KENYA,PHS002,4,2038,0.0012
KENYA,PHS002,4,2039,0.0012
KENYA,PHS002,4,2040,0.0012
KENYA,PHS002,4,2041,0.0014
KENYA,PHS002,4,2042,0.0014
KENYA,PHS002,4,2043,0.0026
KENYA,PHS002,4,2044,0.004
KENYA,PHS002,4,2045,0.0124
KENYA,PHS002,4,2046,0.0146
KENYA,PHS002,4,2047,0.0159
KENYA,PHS002,4,2048,0.0159
KENYA,PHS002,4,2049,0.0159
KENYA,PHS002,4,2050,0.0159
