r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2037,0.8727
KENYA,PHS001,2038,1.1238
KENYA,PHS001,2041,1.1936
KENYA,PHS001,2043,1.2769
KENYA,PHS001,2044,4.6213
KENYA,PHS001,2045,27.9279
KENYA,PHS001,2046,5.5231
KENYA,PHS001,2047,3.8472
KENYA,PHS002,2038,3.3122
KENYA,PHS002,2041,0.619
KENYA,PHS002,2043,3.3503
KENYA,PHS002,2044,4.0569
KENYA,PHS002,2045,24.1174
KENYA,PHS002,2046,6.5318
KENYA,PHS002,2047,3.8444
