r,t,y,TotalTechnologyAnnualActivity
KENYA,IMPELC001,2035,9.9697
KENYA,IMPELC001,2036,9.9697
KENYA,IMPELC001,2037,9.9697
KENYA,IMPELC001,2038,9.9697
KENYA,IMPELC001,2039,9.9697
KENYA,IMPELC001,2040,9.9697
KENYA,IMPELC001,2041,9.9697
KENYA,IMPELC001,2042,9.9697
KENYA,IMPELC001,2043,9.9697
KENYA,IMPELC001,2044,9.9697
KENYA,IMPELC001,2045,9.9697
KENYA,IMPELC001,2046,9.9697
KENYA,IMPELC001,2047,6.272
KENYA,IMPELC001,2048,6.6554
KENYA,IMPELC001,2049,7.0568
KENYA,IMPELC001,2050,6.5154
KENYA,IMPHFOMOM,2019,11.8582
KENYA,IMPHFOMOM,2020,13.065
KENYA,IMPHFOMOM,2021,12.9044
KENYA,IMPHFOMOM,2022,3.8815
KENYA,IMPHFOMOM,2023,3.9694
KENYA,IMPHFOMOM,2024,5.5272
KENYA,IMPHFOMOM,2025,4.1141
KENYA,IMPHFOMOM,2026,1.2423
KENYA,IMPHFOMOM,2027,2.9939
KENYA,IMPHFOMOM,2028,3.7194
KENYA,IMPHFOMOM,2029,3.739
KENYA,IMPHFOMOM,2030,2.2908
KENYA,IMPHFONAI,2019,1.0164
KENYA,IMPHFONAI,2020,1.3285
KENYA,IMPHFONAI,2021,1.4446
KENYA,IMPHFONAI,2022,0.0643
KENYA,IMPHFONAI,2023,0.0841
KENYA,IMPHFONAI,2024,0.3392
KENYA,IMPHFONAI,2025,0.3477
KENYA,IMPHFONAI,2026,0.0899
KENYA,IMPHFONAI,2027,0.9284
KENYA,IMPHFONAI,2028,1.5577
KENYA,IMPHFONAI,2029,1.625
KENYA,IMPHFONAI,2030,5.7023
KENYA,IMPHFONAI,2031,5.8897
KENYA,IMPHFONAI,2032,8.5187
KENYA,IMPHFONAI,2033,14.3729
KENYA,IMPHFONAI,2034,2.8769
KENYA,IMPHFONAI,2035,5.3694
KENYA,IMPNGS,2030,0.5364
KENYA,IMPNGS,2031,3.4762
KENYA,IMPNGS,2032,7.1553
KENYA,IMPNGS,2033,11.9717
KENYA,IMPNGS,2034,29.1017
KENYA,IMPNGS,2035,43.7823
KENYA,IMPNGS,2036,35.3788
KENYA,IMPNGS,2037,45.3691
KENYA,IMPNGS,2038,74.2748
KENYA,IMPNGS,2039,57.9055
KENYA,IMPNGS,2040,49.6438
KENYA,IMPNGS,2041,81.7807
KENYA,IMPNGS,2042,79.3436
KENYA,IMPNGS,2043,94.0132
KENYA,IMPNGS,2044,100.117
KENYA,IMPNGS,2045,109.3335
KENYA,IMPNGS,2046,104.874
KENYA,IMPNGS,2047,115.5566
KENYA,IMPNGS,2048,127.8208
KENYA,IMPNGS,2049,141.871
KENYA,IMPNGS,2050,155.0404
KENYA,IMPURN,2036,28.4269
KENYA,IMPURN,2037,28.4269
KENYA,IMPURN,2038,28.4269
KENYA,IMPURN,2039,56.8538
KENYA,IMPURN,2040,56.8538
KENYA,IMPURN,2041,56.8538
KENYA,IMPURN,2042,85.2808
KENYA,IMPURN,2043,85.2808
KENYA,IMPURN,2044,85.2808
KENYA,IMPURN,2045,85.2808
KENYA,IMPURN,2046,85.2808
KENYA,IMPURN,2047,85.2808
KENYA,IMPURN,2048,85.2808
KENYA,IMPURN,2049,85.2808
KENYA,IMPURN,2050,85.2808
KENYA,MINBIO,2019,0.0902
KENYA,MINBIO,2020,0.0902
KENYA,MINBIO,2021,0.0902
KENYA,MINBIO,2022,0.0902
KENYA,MINBIO,2023,0.1533
KENYA,MINBIO,2024,0.1533
KENYA,MINBIO,2025,0.1533
KENYA,MINBIO,2026,0.6042
KENYA,MINBIO,2027,0.6042
KENYA,MINBIO,2028,0.9649
KENYA,MINBIO,2029,0.9649
KENYA,MINBIO,2030,3.1381
KENYA,MINBIO,2031,4.0398
KENYA,MINBIO,2032,4.5268
KENYA,MINBIO,2033,4.662
KENYA,MINBIO,2034,4.9326
KENYA,MINBIO,2035,4.9461
KENYA,MINBIO,2036,5.3474
KENYA,MINBIO,2037,5.7487
KENYA,MINBIO,2038,6.1499
KENYA,MINBIO,2039,6.5512
KENYA,MINBIO,2040,6.9525
KENYA,MINBIO,2041,7.3538
KENYA,MINBIO,2042,7.755
KENYA,MINBIO,2043,8.1563
KENYA,MINBIO,2044,8.5576
KENYA,MINBIO,2045,8.9589
KENYA,MINBIO,2046,9.3602
KENYA,MINBIO,2047,9.7614
KENYA,MINBIO,2048,10.1627
KENYA,MINBIO,2049,10.564
KENYA,MINBIO,2050,10.9653
KENYA,MINGEO,2019,70.0437
KENYA,MINGEO,2020,70.0437
KENYA,MINGEO,2021,70.0437
KENYA,MINGEO,2022,77.4191
KENYA,MINGEO,2023,80.5179
KENYA,MINGEO,2024,77.8618
KENYA,MINGEO,2025,88.3094
KENYA,MINGEO,2026,100.6456
KENYA,MINGEO,2027,103.0309
KENYA,MINGEO,2028,111.1602
KENYA,MINGEO,2029,129.9168
KENYA,MINGEO,2030,132.9237
KENYA,MINGEO,2031,147.7696
KENYA,MINGEO,2032,152.152
KENYA,MINGEO,2033,156.6614
KENYA,MINGEO,2034,173.7045
KENYA,MINGEO,2035,179.4761
KENYA,MINGEO,2036,197.8065
KENYA,MINGEO,2037,213.7466
KENYA,MINGEO,2038,225.3995
KENYA,MINGEO,2039,250.897
KENYA,MINGEO,2040,294.5606
KENYA,MINGEO,2041,288.5354
KENYA,MINGEO,2042,299.6905
KENYA,MINGEO,2043,305.4895
KENYA,MINGEO,2044,318.2293
KENYA,MINGEO,2045,318.2995
KENYA,MINGEO,2046,333.7088
KENYA,MINGEO,2047,343.1253
KENYA,MINGEO,2048,358.2362
KENYA,MINGEO,2049,378.8766
KENYA,MINGEO,2050,396.146
KENYA,MINHYD,2019,12.7867
KENYA,MINHYD,2020,12.9896
KENYA,MINHYD,2021,13.2116
KENYA,MINHYD,2022,13.4543
KENYA,MINHYD,2023,13.8168
KENYA,MINHYD,2024,14.1402
KENYA,MINHYD,2025,14.4616
KENYA,MINHYD,2026,15.1383
KENYA,MINHYD,2027,15.664
KENYA,MINHYD,2028,16.1201
KENYA,MINHYD,2029,16.6723
KENYA,MINHYD,2030,17.655
KENYA,MINHYD,2031,18.5711
KENYA,MINHYD,2032,19.4063
KENYA,MINHYD,2033,21.6896
KENYA,MINHYD,2034,22.7327
KENYA,MINHYD,2035,24.1868
KENYA,MINHYD,2036,25.406
KENYA,MINHYD,2037,26.9552
KENYA,MINHYD,2038,28.6076
KENYA,MINHYD,2039,29.7726
KENYA,MINHYD,2040,31.048
KENYA,MINHYD,2041,32.4421
KENYA,MINHYD,2042,32.2724
KENYA,MINHYD,2043,34.3785
KENYA,MINHYD,2044,36.7542
KENYA,MINHYD,2045,39.4628
KENYA,MINHYD,2046,41.9813
KENYA,MINHYD,2047,44.3645
KENYA,MINHYD,2048,46.9704
KENYA,MINHYD,2049,47.1086
KENYA,MINHYD,2050,47.2602
KENYA,MINSOL,2019,0.3111
KENYA,MINSOL,2020,0.3111
KENYA,MINSOL,2021,0.8065
KENYA,MINSOL,2022,1.0542
KENYA,MINSOL,2023,1.3112
KENYA,MINSOL,2024,1.5588
KENYA,MINSOL,2025,1.5588
KENYA,MINSOL,2026,1.8684
KENYA,MINSOL,2027,1.9499
KENYA,MINSOL,2028,2.0572
KENYA,MINSOL,2029,2.1983
KENYA,MINSOL,2030,2.384
KENYA,MINSOL,2031,2.6284
KENYA,MINSOL,2032,3.9563
KENYA,MINSOL,2033,4.3795
KENYA,MINSOL,2034,4.9366
KENYA,MINSOL,2035,5.6696
KENYA,MINSOL,2036,6.6343
KENYA,MINSOL,2037,7.9038
KENYA,MINSOL,2038,9.2634
KENYA,MINSOL,2039,11.4621
KENYA,MINSOL,2040,14.3555
KENYA,MINSOL,2041,17.6679
KENYA,MINSOL,2042,22.4313
KENYA,MINSOL,2043,28.7688
KENYA,MINSOL,2044,37.1995
KENYA,MINSOL,2045,48.6202
KENYA,MINSOL,2046,63.3403
KENYA,MINSOL,2047,76.3322
KENYA,MINSOL,2048,82.5995
KENYA,MINSOL,2049,88.4815
KENYA,MINSOL,2050,96.3771
KENYA,MINWND,2019,5.4829
KENYA,MINWND,2020,5.4829
KENYA,MINWND,2021,6.9304
KENYA,MINWND,2022,6.9304
KENYA,MINWND,2023,6.9304
KENYA,MINWND,2024,6.9304
KENYA,MINWND,2025,7.0512
KENYA,MINWND,2026,7.8084
KENYA,MINWND,2027,7.9637
KENYA,MINWND,2028,9.36
KENYA,MINWND,2029,9.5937
KENYA,MINWND,2030,10.3389
KENYA,MINWND,2031,11.1266
KENYA,MINWND,2032,11.5585
KENYA,MINWND,2033,12.4826
KENYA,MINWND,2034,13.1327
KENYA,MINWND,2035,13.7062
KENYA,MINWND,2036,14.685
KENYA,MINWND,2037,15.886
KENYA,MINWND,2038,13.8911
KENYA,MINWND,2039,13.965
KENYA,MINWND,2040,16.1835
KENYA,MINWND,2041,17.4582
KENYA,MINWND,2042,20.7982
KENYA,MINWND,2043,24.8965
KENYA,MINWND,2044,29.925
KENYA,MINWND,2045,35.9741
KENYA,MINWND,2046,42.7876
KENYA,MINWND,2047,51.8927
KENYA,MINWND,2048,63.0295
KENYA,MINWND,2049,76.6511
KENYA,MINWND,2050,93.3117
KENYA,PWRBIO001,2019,0.0315
KENYA,PWRBIO001,2020,0.0315
KENYA,PWRBIO001,2021,0.0315
KENYA,PWRBIO001,2022,0.0315
KENYA,PWRBIO001,2023,0.0536
KENYA,PWRBIO001,2024,0.0536
KENYA,PWRBIO001,2025,0.0536
KENYA,PWRBIO001,2026,0.2112
KENYA,PWRBIO001,2027,0.2112
KENYA,PWRBIO001,2028,0.3374
KENYA,PWRBIO001,2029,0.3374
KENYA,PWRBIO001,2030,1.0972
KENYA,PWRBIO001,2031,1.4125
KENYA,PWRBIO001,2032,1.5828
KENYA,PWRBIO001,2033,1.6301
KENYA,PWRBIO001,2034,1.7247
KENYA,PWRBIO001,2035,1.7294
KENYA,PWRBIO001,2036,1.8697
KENYA,PWRBIO001,2037,2.01
KENYA,PWRBIO001,2038,2.1503
KENYA,PWRBIO001,2039,2.2906
KENYA,PWRBIO001,2040,2.4309
KENYA,PWRBIO001,2041,2.5712
KENYA,PWRBIO001,2042,2.7116
KENYA,PWRBIO001,2043,2.8519
KENYA,PWRBIO001,2044,2.9922
KENYA,PWRBIO001,2045,3.1325
KENYA,PWRBIO001,2046,3.2728
KENYA,PWRBIO001,2047,3.4131
KENYA,PWRBIO001,2048,3.5534
KENYA,PWRBIO001,2049,3.6937
KENYA,PWRBIO001,2050,3.834
KENYA,PWRDIST,2019,45.2992
KENYA,PWRDIST,2020,46.0963
KENYA,PWRDIST,2021,48.1497
KENYA,PWRDIST,2022,49.7134
KENYA,PWRDIST,2023,51.0728
KENYA,PWRDIST,2024,52.7433
KENYA,PWRDIST,2025,54.5992
KENYA,PWRDIST,2026,59.1765
KENYA,PWRDIST,2027,64.4035
KENYA,PWRDIST,2028,70.2212
KENYA,PWRDIST,2029,76.5111
KENYA,PWRDIST,2030,82.9551
KENYA,PWRDIST,2031,90.139
KENYA,PWRDIST,2032,98.1572
KENYA,PWRDIST,2033,106.7187
KENYA,PWRDIST,2034,116.1806
KENYA,PWRDIST,2035,126.4435
KENYA,PWRDIST,2036,137.7094
KENYA,PWRDIST,2037,150.3858
KENYA,PWRDIST,2038,164.2009
KENYA,PWRDIST,2039,179.2385
KENYA,PWRDIST,2040,195.6442
KENYA,PWRDIST,2041,213.5238
KENYA,PWRDIST,2042,231.2682
KENYA,PWRDIST,2043,250.123
KENYA,PWRDIST,2044,270.4645
