r,t,y,AccumulatedNewCapacity
KENYA,DEMINDELC,2024,1.0806
KENYA,DEMINDELC,2025,1.0806
KENYA,DEMINDELC,2026,8.8278
KENYA,DEMINDELC,2027,8.8278
KENYA,DEMINDELC,2028,8.8278
KENYA,DEMINDELC,2029,8.8278
KENYA,DEMINDELC,2030,8.8278
KENYA,DEMINDELC,2031,8.8278
KENYA,DEMINDELC,2032,8.8278
KENYA,DEMINDELC,2033,8.8278
KENYA,DEMINDELC,2034,8.8278
KENYA,DEMINDELC,2035,8.8278
KENYA,DEMINDELC,2036,8.8278
KENYA,DEMINDELC,2037,8.8278
KENYA,DEMINDELC,2038,8.8278
KENYA,DEMINDELC,2039,8.8278
KENYA,DEMINDELC,2040,8.8278
KENYA,DEMINDELC,2041,8.8278
KENYA,DEMINDELC,2042,8.8278
KENYA,DEMINDELC,2043,8.8278
KENYA,DEMINDELC,2044,8.8278
KENYA,DEMINDELC,2045,8.8278
KENYA,DEMINDELC,2046,8.8278
KENYA,DEMINDELC,2047,8.8278
KENYA,DEMINDELC,2048,8.8278
KENYA,DEMINDELC,2049,8.8278
KENYA,DEMINDELC,2050,8.8278
KENYA,DEMRESELC,2019,0.6056
KENYA,DEMRESELC,2020,0.6056
KENYA,DEMRESELC,2021,0.6056
KENYA,DEMRESELC,2022,1.8014
KENYA,DEMRESELC,2023,1.8014
KENYA,DEMRESELC,2024,1.8014
KENYA,DEMRESELC,2025,1.8014
KENYA,DEMRESELC,2026,1.8014
KENYA,DEMRESELC,2027,1.8014
KENYA,DEMRESELC,2028,1.8014
KENYA,DEMRESELC,2029,1.8014
KENYA,DEMRESELC,2030,1.8014
KENYA,DEMRESELC,2031,1.8014
KENYA,DEMRESELC,2032,1.8014
KENYA,DEMRESELC,2033,1.8014
KENYA,DEMRESELC,2034,1.8014
KENYA,DEMRESELC,2035,1.8014
KENYA,DEMRESELC,2036,1.8014
KENYA,DEMRESELC,2037,5.6458
KENYA,DEMRESELC,2038,5.6458
KENYA,DEMRESELC,2039,5.6458
KENYA,DEMRESELC,2040,5.6458
KENYA,DEMRESELC,2041,5.6458
KENYA,DEMRESELC,2042,5.6458
KENYA,DEMRESELC,2043,5.6458
KENYA,DEMRESELC,2044,5.6458
KENYA,DEMRESELC,2045,5.6458
KENYA,DEMRESELC,2046,5.6458
KENYA,DEMRESELC,2047,5.6458
KENYA,DEMRESELC,2048,5.6458
KENYA,DEMRESELC,2049,5.6458
KENYA,DEMRESELC,2050,5.6458
KENYA,IMPBIO,2019,9999.0
KENYA,IMPBIO,2020,9999.0
