r,t,y,DiscountedSalvageValue
KENYA,PWRHYD016,2032,3.5693
KENYA,PWRHYD016,2033,6.4183
KENYA,PWRHYD016,2034,5.0771
KENYA,PWRHYD016,2035,6.4979
KENYA,PWRHYD016,2036,5.7883
KENYA,PWRHYD016,2037,0.7551
KENYA,PWRHYD016,2038,0.8262
KENYA,PWRHYD016,2039,0.8978
KENYA,PWRHYD016,2040,1.013
KENYA,PWRHYD016,2041,1.1075
KENYA,PWRHYD016,2042,1.2245
KENYA,PWRHYD016,2043,1.3421
KENYA,PWRHYD016,2044,1.4604
KENYA,PWRHYD016,2045,1.6237
KENYA,PWRHYD016,2046,1.7879
KENYA,PWRHYD016,2047,1.9528
KENYA,PWRHYD016,2048,2.1409
KENYA,PWRHYD016,2049,2.3523
KENYA,PWRHYD016,2050,2.587
KENYA,PWRHYD101,2019,9.2376
KENYA,PWRHYD101,2020,2.7122
KENYA,PWRHYD101,2021,3.1758
KENYA,PWRHYD101,2022,3.6837
KENYA,PWRHYD101,2023,4.2399
KENYA,PWRHYD101,2024,4.8489
KENYA,PWRHYD101,2025,5.5158
KENYA,PWRHYD101,2026,6.246
KENYA,PWRHYD101,2027,7.0453
KENYA,PWRHYD101,2028,7.9202
KENYA,PWRHYD101,2029,8.8778
KENYA,PWRHYD101,2030,9.9258
KENYA,PWRHYD101,2031,11.0728
KENYA,PWRHYD101,2032,12.3279
KENYA,PWRHYD101,2033,13.7012
KENYA,PWRHYD101,2034,15.2039
KENYA,PWRHYD101,2035,16.848
KENYA,PWRHYD101,2036,18.6467
KENYA,PWRHYD101,2037,20.6145
KENYA,PWRHYD101,2038,22.7672
KENYA,PWRHYD101,2039,25.1222
KENYA,PWRHYD101,2040,27.6983
KENYA,PWRHYD101,2041,30.5161
KENYA,PWRHYD101,2042,33.5984
KENYA,PWRHYD101,2043,36.9699
KENYA,PWRHYD101,2044,40.6575
KENYA,PWRHYD101,2045,44.6908
KENYA,PWRHYD101,2046,49.1023
KENYA,PWRHYD101,2047,53.9271
KENYA,PWRHYD101,2048,59.2041
KENYA,PWRNGS002,2032,2.1749
KENYA,PWRNGS003,2041,23.1763
KENYA,PWRNGS004,2047,9.4323
KENYA,PWRNGS004,2048,0.7773
KENYA,PWRNGS005,2032,0.0539
KENYA,PWRNGS005,2034,1.0867
KENYA,PWRNGS006,2034,1.2356
KENYA,PWRNGS009,2050,1.957
KENYA,PWRNGS010,2035,2.7663
KENYA,PWRNGS011,2034,2.1622
KENYA,PWRNGS018,2033,0.6296
KENYA,PWRNGS018,2034,0.7184
KENYA,PWRNGS018,2035,4.3775
KENYA,PWRNGS018,2036,0.1302
KENYA,PWRNGS018,2037,3.7465
KENYA,PWRNGS018,2038,2.7496
KENYA,PWRNGS018,2039,1.5232
KENYA,PWRNGS018,2040,6.6464
KENYA,PWRNGS018,2041,5.5906
KENYA,PWRNGS018,2042,6.9212
KENYA,PWRNGS018,2043,8.508
KENYA,PWRNGS018,2044,10.3882
KENYA,PWRNGS018,2045,12.6188
KENYA,PWRNGS018,2046,15.2551
KENYA,PWRNGS018,2047,18.3798
KENYA,PWRNGS018,2048,22.0588
KENYA,PWRNGS018,2049,23.5637
KENYA,PWRNGS018,2050,34.4194
KENYA,PWRPHS001,2037,5.731
KENYA,PWRPHS001,2038,7.3797
KENYA,PWRPHS001,2041,7.8382
KENYA,PWRPHS002,2038,20.7025
KENYA,PWRPHS002,2040,0.0984
KENYA,PWRSOL003,2032,0.1615
KENYA,PWRSOL004,2032,0.211
KENYA,PWRSOL005,2032,0.2197
KENYA,PWRSOL013,2032,0.0561
KENYA,PWRSOL014,2032,0.2431
KENYA,PWRSOL101,2032,0.3842
