r,s,y,NewStorageCapacity
KENYA,PHS001,2037,0.0006
KENYA,PHS001,2038,0.0008
KENYA,PHS001,2041,0.0009
KENYA,PHS001,2043,0.0009
KENYA,PHS001,2044,0.0032
KENYA,PHS001,2045,0.0193
KENYA,PHS001,2046,0.0038
KENYA,PHS001,2047,0.0026
KENYA,PHS002,2038,0.0024
KENYA,PHS002,2041,0.0004
KENYA,PHS002,2043,0.0023
KENYA,PHS002,2044,0.0028
KENYA,PHS002,2045,0.0167
KENYA,PHS002,2046,0.0045
KENYA,PHS002,2047,0.0026
KENYA,BESS001,2028,0.8129
KENYA,BESS001,2029,0.4464
KENYA,BESS001,2030,0.542
KENYA,BESS001,2032,0.1924
KENYA,BESS001,2033,0.0627
KENYA,BESS001,2034,0.7469
KENYA,BESS001,2036,0.0987
KENYA,BESS001,2037,0.0865
KENYA,BESS001,2041,0.4908
KENYA,BESS001,2042,0.303
KENYA,BESS001,2043,3.2741
KENYA,BESS001,2044,2.1535
KENYA,BESS001,2045,3.4704
KENYA,BESS001,2046,7.0884
KENYA,BESS001,2047,6.1886
KENYA,BESS001,2048,2.2405
KENYA,BESS001,2049,2.3569
KENYA,BESS001,2050,4.1704
