r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2037,3.1245
KENYA,PHS001,2038,3.658
KENYA,PHS001,2041,2.9349
KENYA,PHS001,2043,2.613
KENYA,PHS001,2044,8.6346
KENYA,PHS001,2045,47.668
KENYA,PHS001,2046,8.6155
KENYA,PHS001,2047,5.4869
KENYA,PHS002,2038,10.7814
KENYA,PHS002,2041,1.5219
KENYA,PHS002,2043,6.8559
KENYA,PHS002,2044,7.58
KENYA,PHS002,2045,41.1642
KENYA,PHS002,2046,10.1889
KENYA,PHS002,2047,5.483
