r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,BESS001,4,1,2028,0.001
KENYA,BESS001,4,1,2029,0.0011
KENYA,BESS001,4,1,2030,0.0015
KENYA,BESS001,4,1,2031,0.0007
KENYA,BESS001,4,1,2032,0.001
KENYA,BESS001,4,1,2033,0.0012
KENYA,BESS001,4,1,2034,0.0043
KENYA,BESS001,4,1,2035,0.0046
KENYA,BESS001,4,1,2036,0.0046
KENYA,BESS001,4,1,2037,0.004
KENYA,BESS001,4,1,2038,0.001
KENYA,BESS001,4,1,2039,0.0007
KENYA,BESS001,4,1,2041,0.0008
KENYA,BESS001,4,1,2042,0.0009
KENYA,BESS001,4,1,2043,0.0044
KENYA,BESS001,4,1,2044,0.007
KENYA,BESS001,4,1,2045,0.0201
KENYA,BESS001,4,1,2046,0.0356
KENYA,BESS001,4,1,2047,0.0512
KENYA,BESS001,4,1,2048,0.0522
KENYA,BESS001,4,1,2049,0.0568
KENYA,BESS001,4,1,2050,0.0647
KENYA,BESS001,4,2,2028,0.0011
KENYA,BESS001,4,2,2029,0.0008
KENYA,BESS001,4,2,2030,0.0016
KENYA,BESS001,4,2,2031,0.0013
KENYA,BESS001,4,2,2032,0.0003
KENYA,BESS001,4,2,2033,0.0016
KENYA,BESS001,4,2,2034,0.0017
KENYA,BESS001,4,2,2035,0.0017
KENYA,BESS001,4,2,2036,0.0021
KENYA,BESS001,4,2,2037,0.0015
KENYA,BESS001,4,2,2038,0.0009
KENYA,BESS001,4,2,2039,0.0014
KENYA,BESS001,4,2,2041,0.0017
KENYA,BESS001,4,2,2042,0.0017
KENYA,BESS001,4,2,2043,0.0044
KENYA,BESS001,4,2,2044,0.0196
KENYA,BESS001,4,2,2045,0.0287
KENYA,BESS001,4,2,2046,0.0333
KENYA,BESS001,4,2,2047,0.0498
KENYA,BESS001,4,2,2048,0.051
KENYA,BESS001,4,2,2049,0.0559
KENYA,BESS001,4,2,2050,0.0638
KENYA,PHS001,4,1,2037,0.0006
KENYA,PHS001,4,1,2038,0.0015
KENYA,PHS001,4,1,2039,0.0015
KENYA,PHS001,4,1,2040,0.0015
KENYA,PHS001,4,1,2041,0.0023
KENYA,PHS001,4,1,2042,0.0023
KENYA,PHS001,4,1,2043,0.0032
KENYA,PHS001,4,1,2044,0.0032
KENYA,PHS001,4,1,2045,0.0129
KENYA,PHS001,4,1,2046,0.0129
KENYA,PHS001,4,1,2047,0.0129
KENYA,PHS001,4,1,2048,0.0129
KENYA,PHS001,4,1,2049,0.0129
KENYA,PHS001,4,1,2050,0.0129
KENYA,PHS001,4,2,2037,0.0003
KENYA,PHS001,4,2,2038,0.0007
KENYA,PHS001,4,2,2039,0.0007
KENYA,PHS001,4,2,2040,0.0007
KENYA,PHS001,4,2,2041,0.0012
KENYA,PHS001,4,2,2042,0.0012
KENYA,PHS001,4,2,2043,0.0016
KENYA,PHS001,4,2,2044,0.0032
KENYA,PHS001,4,2,2045,0.0129
KENYA,PHS001,4,2,2046,0.0129
KENYA,PHS001,4,2,2047,0.0129
KENYA,PHS001,4,2,2048,0.0129
KENYA,PHS001,4,2,2049,0.0129
KENYA,PHS001,4,2,2050,0.0129
KENYA,PHS002,4,1,2038,0.0024
KENYA,PHS002,4,1,2039,0.0024
KENYA,PHS002,4,1,2040,0.0024
KENYA,PHS002,4,1,2041,0.0029
KENYA,PHS002,4,1,2042,0.0029
KENYA,PHS002,4,1,2043,0.0032
KENYA,PHS002,4,1,2044,0.004
KENYA,PHS002,4,1,2045,0.0124
KENYA,PHS002,4,1,2046,0.0129
KENYA,PHS002,4,1,2047,0.0129
KENYA,PHS002,4,1,2048,0.0129
KENYA,PHS002,4,1,2049,0.0129
KENYA,PHS002,4,1,2050,0.0129
KENYA,PHS002,4,2,2038,0.0012
KENYA,PHS002,4,2,2039,0.0012
KENYA,PHS002,4,2,2040,0.0012
KENYA,PHS002,4,2,2041,0.0014
KENYA,PHS002,4,2,2042,0.0014
KENYA,PHS002,4,2,2043,0.0026
KENYA,PHS002,4,2,2044,0.004
KENYA,PHS002,4,2,2045,0.0124
KENYA,PHS002,4,2,2046,0.0129
KENYA,PHS002,4,2,2047,0.0129
KENYA,PHS002,4,2,2048,0.0129
KENYA,PHS002,4,2,2049,0.0129
KENYA,PHS002,4,2,2050,0.0129
