y,Capital costs,Fixed costs,Variable costs,Fuel costs
2019,1.2053786409871898,2.0661387140287766,0.22100607014388485,0.8297703213632246
2020,1.3688902371013467,2.032425983208131,0.2341957578435705,0.9139915358092946
2021,1.9540092473079558,2.0481393381964264,0.22369066497515597,0.9659830851271058
2022,2.5216240337359004,2.1239713408393044,0.11249641760491301,0.34109908829504165
2023,2.9121689503571635,2.1169737365698373,0.11261937922801435,0.33245803413467445
2024,3.1566456236178926,2.015379210779596,0.12477189605389798,0.44316843118383065
2025,3.6474505452953685,2.0940146867447487,0.11407510689719283,0.31668021977913025
2026,4.760226012187087,2.064288767310651,0.0852778252692768,0.09285689861514787
2027,5.460237688589737,1.92812303829253,0.10065834902699311,0.23979405565555995
2028,6.086884345002081,1.927291561758147,0.10633767354866558,0.2989540194688287
2029,7.155036125137338,1.9826453315737378,0.10661563840316728,0.27898673707783245
2030,7.592813754266494,1.9098391990291266,0.11908737864077674,0.4556216580404341
2031,8.32800187442207,1.933784627389778,0.13058859595340283,0.5073646953904466
2032,8.733990040638869,1.8814789812826025,0.17225682724762198,0.771120870444306
2033,9.196126795405856,1.8140530640995542,0.2184400093918761,1.183395975598598
2034,9.649567085218827,1.8147675270392556,0.26524022924117724,1.3916828672724826
2035,9.900091104506954,1.7395096294538697,0.3334986356625934,1.9541762170253147
2036,10.725580497798157,1.7231478122052102,0.4711479573325593,1.4273262208904527
2037,10.994925385603796,1.7079722859136683,0.4814684478117835,1.647752075239819
2038,11.308273507971128,1.6416894768856451,0.5485763381995135,2.400331009728408
2039,11.932756598372677,1.6423854515050167,0.63260618729097,1.833574871793893
2040,12.42150941104777,1.7710605363984673,0.5497052362707534,1.4723114074075685
2041,12.53633543527303,1.6461889494746202,0.6287744260607053,2.1137871709116083
2042,12.938156342999797,1.7303319215143917,0.7039802489411358,1.9661295228631257
2043,13.068566726210241,1.7018338858489437,0.6894448216639373,2.1156417462230563
2044,13.264202473132267,1.7033984829189963,0.6464422420316335,2.070725343744933
2045,13.507762016042383,1.6770031148405984,0.6140656329253971,2.0700436639375623
2046,13.824177458064577,1.7085310778914242,0.5440289535798584,1.8435093123529507
2047,14.07833462591577,1.723704975768777,0.5193386986450889,1.8637248089894412
2048,14.188474745871309,1.736669224762366,0.49923337910978266,1.8926443344910904
2049,14.021826732949723,1.757893229036919,0.48349546609536154,1.9293946589610633
2050,14.091793346884979,1.785848919619706,0.4649537309132814,1.9398545468172266
